Supplier_ID,Category,Order_Value_INR,Defect_Rate_Pct,Delay_Rate_Pct,Lead_Time_Days,Weather_Condition,Carrier_Type,Risk_Score,Risk_Level
SUPP_041,Electronics,3776674.18,14.27,22.23,22,Clear,Sea,56,Medium
SUPP_016,Raw Materials,4486035.89,1.59,14.32,54,Rain,Road,33,Low
SUPP_044,Textiles,1471524.84,9.8,2.64,25,Clear,Rail,11,Low
SUPP_003,Electronics,9388599.45,0.11,29.77,34,Clear,Air,26,Low
SUPP_015,Textiles,6135948.95,0.21,1.67,28,Clear,Air,0,Low
SUPP_046,Textiles,514323.35,14.61,7.75,48,Snow,Air,78,High
SUPP_029,Textiles,3855496.81,14.75,14.54,38,Storm,Road,78,High
SUPP_049,Raw Materials,6819060.01,6.81,1.38,26,Snow,Sea,53,Medium
SUPP_018,Raw Materials,8093553.61,4.64,3.83,21,Rain,Sea,24,Low
SUPP_007,Electronics,6848472.01,9.19,25.16,36,Snow,Road,73,High
SUPP_023,Packaging,3941053.05,2.82,22.91,7,Storm,Road,71,High
SUPP_047,Machinery,5489767.28,2.85,29.12,27,Clear,Rail,26,Low
SUPP_006,Textiles,9398014.47,13.43,18.34,49,Storm,Sea,94,High
SUPP_037,Raw Materials,930500.4,3.02,2.31,41,Clear,Road,30,Low
SUPP_043,Raw Materials,3917339.03,4.14,25.03,27,Storm,Road,74,High
SUPP_015,Electronics,2845298.37,8.19,5.09,16,Snow,Sea,52,Medium
SUPP_030,Packaging,791778.9,14.8,23.4,45,Rain,Sea,82,High
SUPP_023,Raw Materials,104945.07,12.25,21.5,36,Storm,Road,77,High
SUPP_039,Raw Materials,7724139.95,1.2,11.4,42,Rain,Air,31,Low
SUPP_030,Machinery,8507883.85,6.8,3.77,56,Storm,Air,67,High
SUPP_044,Packaging,6704970.46,10.02,18.15,23,Clear,Air,27,Low
SUPP_003,Packaging,4748538.51,1.88,21.68,2,Snow,Sea,59,Medium
SUPP_005,Raw Materials,5634708.12,11.59,15.32,10,Storm,Air,69,High
SUPP_042,Machinery,4304033.13,0.48,4.13,33,Snow,Rail,26,Low
SUPP_010,Packaging,4779933.72,8.49,21.17,38,Rain,Air,57,Medium
SUPP_048,Textiles,6063952.92,8.14,6.89,14,Storm,Rail,36,Medium
SUPP_038,Machinery,2933026.96,2.5,27.96,46,Storm,Air,84,High
SUPP_009,Textiles,1099667.89,6.9,7.33,21,Snow,Road,45,Medium
SUPP_049,Electronics,3277232.96,1.92,11.33,34,Clear,Air,0,Low
SUPP_041,Raw Materials,2317954.87,6.46,24.72,42,Snow,Road,77,High
SUPP_025,Machinery,119173.7,7.71,13.1,38,Snow,Sea,50,Medium
SUPP_036,Electronics,1242660.4,5.13,28.34,55,Clear,Sea,73,High
SUPP_050,Packaging,7045038.64,5.52,29.18,53,Clear,Sea,61,Medium
SUPP_028,Raw Materials,2555233.84,7.51,9.73,50,Snow,Road,73,High
SUPP_047,Packaging,417025.13,9.18,15.58,55,Rain,Road,62,Medium
SUPP_041,Packaging,2822532.32,13.63,7.95,3,Rain,Air,45,Medium
SUPP_024,Raw Materials,4920054.96,14.79,8.02,5,Clear,Sea,47,Medium
SUPP_032,Electronics,7628115.17,3.64,22.12,25,Clear,Sea,29,Low
SUPP_020,Raw Materials,6341443.01,9.54,16.54,49,Clear,Air,40,Medium
SUPP_037,Electronics,8361259.83,4.88,6.41,30,Clear,Rail,0,Low
SUPP_005,Textiles,5929384.78,10.2,1.48,4,Rain,Air,43,Medium
SUPP_043,Machinery,3519226.57,1.53,28.28,41,Rain,Sea,56,Medium
SUPP_034,Textiles,9370463.39,2.15,10.89,26,Snow,Air,47,Medium
SUPP_035,Raw Materials,9250701.5,13.17,8.48,17,Storm,Rail,60,Medium
SUPP_043,Packaging,5574248.08,7.99,8.01,49,Snow,Rail,56,Medium
SUPP_008,Raw Materials,5605019.86,13.25,6.47,42,Rain,Road,47,Medium
SUPP_022,Electronics,7018560.41,12.72,25.83,55,Rain,Air,88,High
SUPP_001,Electronics,8883312.48,12.78,28.13,37,Clear,Air,45,Medium
SUPP_005,Electronics,6706433.13,8.75,11.8,26,Storm,Road,47,Medium
SUPP_033,Raw Materials,9737955.18,4.33,9.86,3,Storm,Rail,41,Medium
SUPP_014,Textiles,4511820.22,14.92,6.1,5,Rain,Rail,25,Low
SUPP_016,Machinery,4964242.47,2.76,11.63,9,Snow,Air,36,Medium
SUPP_007,Electronics,7223352.25,4.69,16.73,52,Snow,Sea,76,High
SUPP_028,Machinery,2688763.56,3.74,29.22,46,Snow,Road,83,High
SUPP_044,Electronics,8925863.22,9.5,24.05,31,Clear,Rail,25,Low
SUPP_047,Packaging,5790193.65,7.44,6.66,49,Clear,Air,33,Low
SUPP_013,Raw Materials,5741441.78,11.55,2.26,45,Snow,Air,73,High
SUPP_028,Raw Materials,9152900.68,5.62,1.45,25,Storm,Rail,46,Medium
SUPP_016,Electronics,5550011.42,8.63,29.43,53,Snow,Road,95,High
SUPP_004,Textiles,1949564.76,4.1,15.07,19,Clear,Road,29,Low
SUPP_049,Raw Materials,3977180.09,12.68,27.97,47,Rain,Rail,88,High
SUPP_032,Machinery,2128741.24,10.1,11.4,28,Rain,Rail,44,Medium
SUPP_004,Raw Materials,8779862.07,11.14,21.21,44,Snow,Road,100,High
SUPP_025,Packaging,3626936.95,4.47,24.47,36,Snow,Sea,72,High
SUPP_028,Textiles,8677369.57,13.71,15.83,58,Snow,Air,73,High
SUPP_013,Packaging,7993037.03,9.78,21.36,17,Rain,Road,53,Medium
SUPP_038,Textiles,8905553.15,5.14,11.89,3,Clear,Sea,42,Medium
SUPP_004,Electronics,6736660.05,4.99,5.5,23,Snow,Air,41,Medium
SUPP_004,Textiles,2540001.04,0.68,9.79,44,Clear,Air,9,Low
SUPP_005,Textiles,5246320.44,11.57,7.26,6,Clear,Air,21,Low
SUPP_026,Electronics,899207.28,0.87,16.41,48,Rain,Road,32,Low
SUPP_040,Electronics,6392427.52,10.92,29.3,43,Snow,Sea,100,High
SUPP_017,Raw Materials,7962102.64,4.14,13.73,56,Storm,Air,49,Medium
SUPP_017,Machinery,1884120.06,1.31,13.42,13,Rain,Sea,40,Medium
SUPP_030,Packaging,629026.28,13.74,13.83,33,Clear,Road,51,Medium
SUPP_030,Textiles,7160229.43,9.94,9.12,17,Clear,Road,11,Low
SUPP_035,Raw Materials,6588257.72,6.59,22.17,4,Storm,Air,66,High
SUPP_023,Electronics,5682070.24,2.46,4.48,30,Rain,Sea,23,Low
SUPP_019,Raw Materials,963400.7,1.5,10.03,53,Snow,Sea,59,Medium
SUPP_040,Textiles,4768029.6,1.56,15.26,40,Clear,Sea,13,Low
